Date,Source,City,CampaignId,Visitors,Bookings,Revenue
2025-11-13,Google Ads,New York,CAMP001,1200,85,8500
2025-11-13,Facebook,Los Angeles,CAMP002,950,62,6200
2025-11-13,Instagram,Chicago,CAMP003,780,45,4500
2025-11-14,Google Ads,New York,CAMP001,1350,92,9200
2025-11-14,Facebook,Los Angeles,CAMP002,1100,71,7100
2025-11-14,Instagram,Chicago,CAMP003,820,51,5100
2025-11-14,LinkedIn,Houston,CAMP004,650,38,3800
2025-11-15,Google Ads,New York,CAMP001,1180,78,7800
2025-11-15,Facebook,Los Angeles,CAMP002,980,65,6500
2025-11-15,Instagram,Chicago,CAMP003,890,58,5800
2025-11-15,LinkedIn,Houston,CAMP004,720,42,4200
2025-11-16,Google Ads,New York,CAMP001,1420,98,9800
2025-11-16,Facebook,Los Angeles,CAMP002,1050,68,6800
2025-11-16,Instagram,Chicago,CAMP003,910,61,6100
2025-11-16,LinkedIn,Houston,CAMP004,680,39,3900
2025-11-16,Twitter,Miami,CAMP005,540,28,2800
2025-11-17,Google Ads,New York,CAMP001,1580,112,11200
2025-11-17,Facebook,Los Angeles,CAMP002,1220,82,8200
2025-11-17,Instagram,Chicago,CAMP003,1050,72,7200
2025-11-17,LinkedIn,Houston,CAMP004,790,48,4800
2025-11-17,Twitter,Miami,CAMP005,620,35,3500
2025-11-18,Google Ads,New York,CAMP001,1680,118,11800
2025-11-18,Facebook,Los Angeles,CAMP002,1340,89,8900
2025-11-18,Instagram,Chicago,CAMP003,1120,76,7600
2025-11-18,LinkedIn,Houston,CAMP004,850,52,5200
2025-11-18,Twitter,Miami,CAMP005,710,41,4100
2025-11-19,Google Ads,New York,CAMP001,1520,105,10500
2025-11-19,Facebook,Los Angeles,CAMP002,1180,78,7800
2025-11-19,Instagram,Chicago,CAMP003,980,65,6500
2025-11-19,LinkedIn,Houston,CAMP004,780,45,4500
2025-11-19,Twitter,Miami,CAMP005,650,38,3800